card,filename
Ac,1.png
As,2.png
Ah,3.png
Ad,4.png
Kc,5.png
Ks,6.png
Kh,7.png
Kd,8.png
Qc,9.png
Qs,10.png
Qh,11.png
Qd,12.png
Jc,13.png
Js,14.png
Jh,15.png
Jd,16.png
Tc,17.png
Ts,18.png
Th,19.png
Td,20.png
9c,21.png
9s,22.png
9h,23.png
9d,24.png
8c,25.png
8s,26.png
8h,27.png
8d,28.png
7c,29.png
7s,30.png
7h,31.png
7d,32.png
6c,33.png
6s,34.png
6h,35.png
6d,36.png
5c,37.png
5s,38.png
5h,39.png
5d,40.png
4c,41.png
4s,42.png
4h,43.png
4d,44.png
3c,45.png
3s,46.png
3h,47.png
3d,48.png
2c,49.png
2s,50.png
2h,51.png
2d,52.png
Joker,53.png
